dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.5,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8573748819641172,0.7611331444759206,0.9536166194523136
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.9,4096,1,4,20,8,1,0,log/ogbn-arxivbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9155405129084198,0.9296471127219,0.9014339130949393
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.8,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8923560072973677,0.8506385196768309,0.9340734949179048
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.5,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9713539432616694,0.963176404944988,0.9795314815783508
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.6,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8604595530374568,0.7543468681145735,0.96657223796034
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9192565516530652,0.9316931844849998,0.906819918821131
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.9,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8924237685691947,0.8364347146207975,0.9484128225175918
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.8,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8756258524813765,0.7883055293253594,0.9629461756373938
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9005473025801407,0.8537816002084962,0.9473130049517852
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.6,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9705713065160152,0.9624543599937228,0.978688253038308
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.1,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7828388918006453,-1.0,-1.0
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.9,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8785374042597839,0.7872164515790577,0.96985835694051
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.8,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9728739690676712,0.9654250143851022,0.9803229237502398
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8737005560801595,0.7717343405728675,0.9756667715874516
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.9,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.974364527209639,0.9673449460340708,0.9813841083852068
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9728012589144044,0.9633563494969573,0.9822461683318512
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.2,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7910104012435396,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.3,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.815983254431238,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.5,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8309370650487071,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.6,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8447793825298203,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.8,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8549116620217386,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,0.9,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8639835842311365,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/ACMbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8734033356813653,-1.0,-1.0
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.0,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8747110232251561,0.8936694093614869,0.8557526370888253
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.0,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8365910867865519,0.8057127964555644,0.8674693771175397
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.0,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8189382016577484,0.6867317175532472,0.9511446857622494
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.0,4096,1,4,256,8,1,0,log/Pubmedplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.9575663458352948,0.9450594584226952,0.9700732332478944
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.1,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8793079139193802,0.906074574157856,0.8525412536809046
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.1,4096,1,4,256,8,1,0,log/Coraplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8609851446442535,0.8249622100599426,0.897008079228564
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.1,4096,1,4,256,8,1,0,log/Citeseerplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8223733081523449,0.6980169971671388,0.9467296191375512
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.2,4096,1,4,20,8,1,0,log/ogbn-arxivplotscore,pseudo,scorelossfixbatch,infonce,True,False,True,0.8891940655553039,0.9101738978713504,0.8682142332392572
